ΚΑΝΟΝΙΚΗ
ΚΑΝΟΝΙΚΗ (ΜΤΦ)
ΑΝΑΡΡΩΤΙΚΗ Υ/Δ
ΑΝΑΡΡΩΤΙΚΗ
ΑΣΘΕΝΕΙΑΣ Ε/Μ
ΡΕΠΟ ΑΙΜΟΔΟΣΙΑΣ
ΓΟΝΙΚΗ ΕΠΙΔΟΣΗΣ
ΓΟΝΙΚΗ ΑΝΑΤΡΟΦΗΣ
ΣΕΜΙΝΑΡΙΟ
ΕΚΠΑΙΔΕΥΤΙΚΗ
ΣΠΟΥΔΑΣΤΙΚΗ
ΣΥΝΔΙΚΑΛΙΣΤΙΚΗ
ΚΥΗΣΕΩΣ & ΛΟΧΕΙΑΣ
ΓΑΜΟΥ
ΠΕΝΘΟΥΣ
ΕΚΛΟΓΙΚΗ
ΑΘΛΗΤΙΚΗ
ΕΙΔΙΚΗ ΑΔΕΙΑ
ΕΠΙΤΡΟΠΗ ΥΓΕΙΑΣ
ΑΝΕΥ ΑΠΟΔΟΧΩΝ
ΑΝΑΠΗΡΙΚΗ
ΑΤΥΧΗΜΑΤΟΣ
ΣΤΡΑΤΙΩΤΙΚΗ
ΑΠΕΡΓΙΑ
ΔΙΑΘΕΣΙΜΟΤΗΤΑ
ΑΡΓΙΑ
ΠΑΥΣΗ
